ticker1,ticker2,ssd
DESA.IS,PETUN.IS,8.809456185808017
ALKIM.IS,PNSUT.IS,8.813269217980178
OYAKC.IS,PNSUT.IS,8.85409419081816
AKSA.IS,MRGYO.IS,8.882989261718535
INVEO.IS,SASA.IS,9.010114358657006
SARKY.IS,VAKFN.IS,9.096347921711072
ETYAT.IS,HUBVC.IS,9.136625058501295
FRIGO.IS,HUBVC.IS,9.153191129864581
SASA.IS,VKGYO.IS,9.1581149083745
ALKA.IS,PNSUT.IS,9.165825629951541
EGPRO.IS,PETUN.IS,9.167288811291542
FROTO.IS,PETUN.IS,9.243699369578053
GLRYH.IS,SEKFK.IS,9.272221960631668
TUKAS.IS,YUNSA.IS,9.358426710254435
BIMAS.IS,BOSSA.IS,9.41992732503968
SEKFK.IS,VKGYO.IS,9.487495031128446
EGPRO.IS,SEKFK.IS,9.554382331412398
KGYO.IS,YUNSA.IS,9.637656535191752
DURDO.IS,KGYO.IS,9.711442291758885
KGYO.IS,OYAKC.IS,9.741340184948513
ALKA.IS,ZEDUR.IS,9.74777052220395
SARKY.IS,SEKFK.IS,9.778707284746133
ANSGR.IS,FROTO.IS,9.799491975549017
CRDFA.IS,EGPRO.IS,9.832658322112593
ALKIM.IS,DURDO.IS,10.027731491206282
ALKIM.IS,OYAKC.IS,10.068788065802323
DESA.IS,FRIGO.IS,10.126039704651475
BOSSA.IS,LKMNH.IS,10.131736654285078
AKSA.IS,PNSUT.IS,10.140901742225196
KGYO.IS,ZEDUR.IS,10.185461990043109
ANSGR.IS,SILVR.IS,10.201715101695527
KGYO.IS,PNSUT.IS,10.224057909375802
DESA.IS,SILVR.IS,10.226402738069623
DESA.IS,HUBVC.IS,10.261840348502119
ALKIM.IS,EREGL.IS,10.293121504991632
ALKA.IS,YUNSA.IS,10.33176480785653
ETYAT.IS,SILVR.IS,10.35094565048064
AKSA.IS,OZGYO.IS,10.420422124515312
GENTS.IS,SEKFK.IS,10.448610623721379
SILVR.IS,TURSG.IS,10.461974864526269
EGPRO.IS,FRIGO.IS,10.481504487807456
AKSA.IS,GLRYH.IS,10.491734310051584
CRDFA.IS,FRIGO.IS,10.536476391300312
EGPRO.IS,GEREL.IS,10.579726617385859
ALKA.IS,EREGL.IS,10.584810342661967
AKSA.IS,ANSGR.IS,10.595948124226197
ANSGR.IS,BOSSA.IS,10.596727681029392
FROTO.IS,SEKFK.IS,10.626390125374542
GENTS.IS,YUNSA.IS,10.698500737648374
BIMAS.IS,LKMNH.IS,10.815967489571449
ANSGR.IS,DESA.IS,10.894628745271234
AGHOL.IS,LKMNH.IS,10.93017444926545
TUKAS.IS,ZEDUR.IS,10.938282248277687
KRONT.IS,SILVR.IS,10.948779876947128
CRDFA.IS,FROTO.IS,10.965105326107619
OYAKC.IS,SEKFK.IS,10.969932446866096
AEFES.IS,LKMNH.IS,10.970892610630017
INVEO.IS,SAMAT.IS,11.003099343197277
FRIGO.IS,GENTS.IS,11.006216793350745
CRDFA.IS,ETYAT.IS,11.022039947605435
EREGL.IS,SARKY.IS,11.029224076077298
ALKA.IS,DURDO.IS,11.070335477150365
MRGYO.IS,ZEDUR.IS,11.102825477579813
FRIGO.IS,MRGYO.IS,11.102863163966163
OYAKC.IS,SASA.IS,11.266143068756946
INVEO.IS,TUKAS.IS,11.273759738538388
FRIGO.IS,TUKAS.IS,11.345685075797746
OZGYO.IS,YUNSA.IS,11.359217971190105
AKSA.IS,GENTS.IS,11.375586974068028
ALGYO.IS,CRDFA.IS,11.421136149700828
DESA.IS,PNSUT.IS,11.496329963366975
GENTS.IS,INVEO.IS,11.660848843080657
FROTO.IS,KRONT.IS,11.679861580258944
EGPRO.IS,TURSG.IS,11.681229712375739
ALGYO.IS,YUNSA.IS,11.690825583178139
ETYAT.IS,PETUN.IS,11.70067769747584
ALKA.IS,PETUN.IS,11.723528625878771
ALKIM.IS,PETUN.IS,11.754142584571468
CRDFA.IS,MRGYO.IS,11.815998697070086
BRKSN.IS,EGPRO.IS,11.827858751873919
EUYO.IS,TUKAS.IS,11.844223416212458
ETYAT.IS,GEREL.IS,11.859182941861718
FROTO.IS,HUBVC.IS,11.861338478954394
DURDO.IS,VKGYO.IS,11.893211518192288
BRKSN.IS,ETYAT.IS,11.920667654424733
SARKY.IS,VKGYO.IS,11.964061308906707
EUYO.IS,PNSUT.IS,11.991675810747097
PETUN.IS,SILVR.IS,12.042211833554347
ALGYO.IS,HUBVC.IS,12.048755889825202
EUYO.IS,GENTS.IS,12.066260981504001
GEDIK.IS,YUNSA.IS,12.096025564988963
FROTO.IS,GEREL.IS,12.116153881780292
BRKSN.IS,ESCOM.IS,12.236139830656839
GENTS.IS,ZEDUR.IS,12.238469109046719
RYGYO.IS,RYSAS.IS,12.256531387430414
EGPRO.IS,PNSUT.IS,12.274370422267111
PNSUT.IS,YUNSA.IS,12.403350162026413
ADEL.IS,GARFA.IS,12.428341128281772
ALKA.IS,EUYO.IS,12.47347605913717
LKMNH.IS,RYGYO.IS,12.499308651796582
EGPRO.IS,KRONT.IS,12.546101583568088
ETYAT.IS,SEKFK.IS,12.638290172354345
ADEL.IS,ESCOM.IS,12.779409310062647
KGYO.IS,PETUN.IS,12.803392720506395
BOSSA.IS,TURSG.IS,12.851681277361195
AKSA.IS,SASA.IS,12.870606445470003
ETYAT.IS,FRIGO.IS,12.911080143473896
OZGYO.IS,ZEDUR.IS,12.960104494989878
HUBVC.IS,VAKFN.IS,13.098541022475615
SAMAT.IS,ZEDUR.IS,13.159173108015807
DURDO.IS,GENTS.IS,13.231812101951618
DURDO.IS,GEDIK.IS,13.279777881567043
INVEO.IS,OZGYO.IS,13.341439592850293
CRDFA.IS,VAKFN.IS,13.346158576339349
INVEO.IS,MRGYO.IS,13.35921533432429
BRKSN.IS,GARFA.IS,13.409238954023067
EUYO.IS,SARKY.IS,13.416333076984188
AKSA.IS,SILVR.IS,13.49512092375494
FROTO.IS,GLYHO.IS,13.550623265600393
AGHOL.IS,ANSGR.IS,13.550747521422863
BOSSA.IS,GLYHO.IS,13.59225557514776
FROTO.IS,PNSUT.IS,13.639974574076177
SEKFK.IS,SILVR.IS,13.663290713143397
AEFES.IS,ANSGR.IS,13.707762968087195
AKSA.IS,FROTO.IS,13.71440516212067
ANSGR.IS,EGPRO.IS,13.726661299571106
EUYO.IS,OZGYO.IS,13.734047708313824
ESCOM.IS,KRONT.IS,13.750533056334007
ESCOM.IS,GARFA.IS,13.847826595986362
CRDFA.IS,OZGYO.IS,13.936066769937725
ALKIM.IS,EUYO.IS,13.995671175643906
ANSGR.IS,GLYHO.IS,14.023141062497643
EUYO.IS,ZEDUR.IS,14.05442337043553
GLYHO.IS,LKMNH.IS,14.092296239166217
AKSA.IS,TUKAS.IS,14.093312002591574
EUYO.IS,SASA.IS,14.115341648948174
GLRYH.IS,HUBVC.IS,14.319768109281426
ALGYO.IS,EUYO.IS,14.31994450094112
GEDIK.IS,ZEDUR.IS,14.5777643007998
EUYO.IS,PETUN.IS,14.61516547686631
SAMAT.IS,YUNSA.IS,14.63338267032998
OYAKC.IS,SARKY.IS,14.637827714665491
AEFES.IS,GLYHO.IS,14.684402809156836
HUBVC.IS,OZGYO.IS,14.70841094730963
CRDFA.IS,GLRYH.IS,14.742569895375595
AGHOL.IS,TURSG.IS,14.773126309884674
ETYAT.IS,KRONT.IS,14.79161345359853
FRIGO.IS,SASA.IS,14.79433878001737
GEREL.IS,TURSG.IS,14.806966275047216
HUBVC.IS,TUKAS.IS,14.869006438500833
CRDFA.IS,SASA.IS,14.871081643531056
ADEL.IS,GEREL.IS,14.94582229232401
AKSA.IS,CRDFA.IS,14.963080625752127
CRDFA.IS,GEDIK.IS,14.974561538057287
GEREL.IS,KRONT.IS,14.97983716650765
BTCIM.IS,EREGL.IS,15.003239233147497
DURDO.IS,OZGYO.IS,15.027369030585305
CRDFA.IS,TUKAS.IS,15.094132447595825
CRDFA.IS,SILVR.IS,15.103944985102544
ETYAT.IS,PNSUT.IS,15.135122648054448
AKSA.IS,DESA.IS,15.194173528410943
FRIGO.IS,GLYHO.IS,15.198278067278352
ADEL.IS,BRKSN.IS,15.235884580453103
BRKSN.IS,HUBVC.IS,15.29447196899332
ETYAT.IS,TURSG.IS,15.373502837407045
GEDIK.IS,INVEO.IS,15.38353946786441
FROTO.IS,VAKFN.IS,15.434168892675643
RYGYO.IS,TKFEN.IS,15.434955157522154
EUYO.IS,GLRYH.IS,15.482263720826495
HUBVC.IS,MRGYO.IS,15.506524462361313
ALGYO.IS,ZEDUR.IS,15.532514201409867
ALKIM.IS,SEKFK.IS,15.535186437559787
GLRYH.IS,YUNSA.IS,15.590632714884805
EREGL.IS,SILVR.IS,15.677605784086381
EUYO.IS,YUNSA.IS,15.696237712811808
DESA.IS,VAKFN.IS,15.718266455813136
DESA.IS,EUKYO.IS,15.739682137850536
ANSGR.IS,FRIGO.IS,15.790428829046732
DAGI.IS,GLYHO.IS,15.83932862946051
DESA.IS,GEREL.IS,15.89085155472253
AKSA.IS,TURSG.IS,15.89661967080724
SILVR.IS,VAKFN.IS,15.907256924784633
ARSAN.IS,RYGYO.IS,15.932530811048082
ANSGR.IS,SEKFK.IS,16.067746152935342
INVEO.IS,SNPAM.IS,16.074646869704736
GLYHO.IS,TURSG.IS,16.079675357173528
ALKA.IS,FRIGO.IS,16.128308032432187
DURDO.IS,GLRYH.IS,16.134963453230057
CRDFA.IS,VKGYO.IS,16.202560984066395
EUYO.IS,MRGYO.IS,16.31863033545403
GEREL.IS,SILVR.IS,16.349257179674737
ALGYO.IS,INVEO.IS,16.353629443237878
ARSAN.IS,TKFEN.IS,16.37417377029692
HUBVC.IS,SILVR.IS,16.389364860778187
ALKA.IS,SEKFK.IS,16.39930686278376
SILVR.IS,VKGYO.IS,16.43129277492949
BIMAS.IS,GLYHO.IS,16.47948410899494
PNSUT.IS,ZEDUR.IS,16.52184001220303
GLYHO.IS,TKFEN.IS,16.532056748939794
AKSA.IS,GLYHO.IS,16.56221511267347
DURDO.IS,VAKFN.IS,16.59392594276403
ALKIM.IS,FRIGO.IS,16.616875008589318
VAKFN.IS,YUNSA.IS,16.621729093404724
DAGI.IS,OYAKC.IS,16.622205317391717
DAGI.IS,VKGYO.IS,16.636902586229553
SEKFK.IS,YUNSA.IS,16.680937888746485
PETUN.IS,YUNSA.IS,16.71444034295598
FROTO.IS,VKGYO.IS,16.82473325262754
BTCIM.IS,GLYHO.IS,16.865290838501892
EREGL.IS,FROTO.IS,16.892728622158984
GLRYH.IS,INVEO.IS,16.898522089266407
EUYO.IS,INVEO.IS,16.908947326904922
CRDFA.IS,GENTS.IS,16.913989056724745
LKMNH.IS,TKFEN.IS,16.91448702085745
CRDFA.IS,SARKY.IS,16.921258236963013
DESA.IS,MRGYO.IS,16.929840871993633
ETYAT.IS,EUKYO.IS,16.993559438496618
KGYO.IS,SEKFK.IS,16.995105161470292
AEFES.IS,TURSG.IS,17.09148980406144
FRIGO.IS,SARKY.IS,17.160950164104065
AGHOL.IS,GLYHO.IS,17.182276490224012
GLRYH.IS,ZEDUR.IS,17.251701198964383
AKSA.IS,EGPRO.IS,17.261364849783263
AKSA.IS,KGYO.IS,17.28686042680738
EUYO.IS,VAKFN.IS,17.30433941178842
PNSUT.IS,SILVR.IS,17.321601275161015
ALGYO.IS,EGPRO.IS,17.360185168311318
CRDFA.IS,EREGL.IS,17.43349294828147
ESCOM.IS,ETYAT.IS,17.48646413768347
FRIGO.IS,TURSG.IS,17.504151221743996
FRIGO.IS,KGYO.IS,17.54516978040556
AKSA.IS,SARKY.IS,17.646509173720233
AKSA.IS,ALKA.IS,17.65206088055936
ANSGR.IS,LKMNH.IS,17.661534616873723
KRONT.IS,TURSG.IS,17.674556989001985
ALGYO.IS,DESA.IS,17.70589692362944
HUBVC.IS,SASA.IS,17.72061814432243
ARSAN.IS,BIMAS.IS,17.773808755124264
BRKSN.IS,EUKYO.IS,18.038545313123564
AKSA.IS,BTCIM.IS,18.044963033327235
GENTS.IS,HUBVC.IS,18.054701300043007
BOSSA.IS,YYAPI.IS,18.059889455442317
BOSSA.IS,SILVR.IS,18.1519676452084
CRDFA.IS,EUKYO.IS,18.17283679865818
EREGL.IS,GLYHO.IS,18.213921185850722
AKSA.IS,DAGI.IS,18.21852483952773
